Year,Team,Record,Winning Percentage,,,,,,,,,,,,,,,,,
2008-09,Wizards,19-63,0.232,,,,,,,,,,,,,,,,,
2007-08,76ers,40-42,0.488,,,,,,,,,,,,,,,,,
2007-08,Bobcats,32-50,0.39,,,,,,,,,,,,,,,,,
2007-08,Bucks,26-56,0.317,,,,,,,,,,,,,,,,,
2007-08,Bulls,33-49,0.402,,,,,,,,,,,,,,,,,
2007-08,Cavaliers,45-37,0.549,,,,,,,,,,,,,,,,,
2007-08,Celtics,66-16,0.805,,,,,,,,,,,,,,,,,
2007-08,Clippers,23-59,0.28,,,,,,,,,,,,,,,,,
2007-08,Grizzlies,22-60,0.268,,,,,,,,,,,,,,,,,
2007-08,Hawks,37-45,0.451,,,,,,,,,,,,,,,,,
2007-08,Heat,15-67,0.183,,,,,,,,,,,,,,,,,
2007-08,Hornets,56-26,0.683,,,,,,,,,,,,,,,,,
2007-08,Jazz,54-28,0.659,,,,,,,,,,,,,,,,,
2007-08,Kings,38-44,0.463,,,,,,,,,,,,,,,,,
2007-08,Knicks,23-59,0.28,,,,,,,,,,,,,,,,,
2007-08,Lakers,57-25,0.695,,,,,,,,,,,,,,,,,
2007-08,Magic,52-30,0.634,,,,,,,,,,,,,,,,,
2007-08,Mavericks,51-31,0.622,,,,,,,,,,,,,,,,,
2007-08,Nets,34-48,0.415,,,,,,,,,,,,,,,,,
2007-08,Nuggets,50-32,0.61,,,,,,,,,,,,,,,,,
2007-08,Pacers,36-46,0.439,,,,,,,,,,,,,,,,,
2007-08,Pistons,59-23,0.72,,,,,,,,,,,,,,,,,
2007-08,Raptors,41-41,0.5,,,,,,,,,,,,,,,,,
2007-08,Rockets,55-27,0.671,,,,,,,,,,,,,,,,,
2007-08,Spurs,56-26,0.683,,,,,,,,,,,,,,,,,
2007-08,Suns,55-27,0.671,,,,,,,,,,,,,,,,,
2007-08,Supersonics,20-62,0.244,,,,,,,,,,,,,,,,,
2007-08,Timberwolves,22-60,0.268,,,,,,,,,,,,,,,,,
2007-08,Trail Blazers,41-41,0.5,,,,,,,,,,,,,,,,,
2007-08,Warriors,48-34,0.585,,,,,,,,,,,,,,,,,
2007-08,Wizards,43-39,0.524,,,,,,,,,,,,,,,,,
2006-07,76ers,35-47,0.427,,,,,,,,,,,,,,,,,
2006-07,Bobcats,33-49,0.402,,,,,,,,,,,,,,,,,
2006-07,Bucks,28-54,0.341,,,,,,,,,,,,,,,,,
2006-07,Bulls,49-33,0.598,,,,,,,,,,,,,,,,,
2006-07,Cavaliers,50-32,0.61,,,,,,,,,,,,,,,,,
2006-07,Celtics,24-58,0.293,,,,,,,,,,,,,,,,,
2006-07,Clippers,40-42,0.488,,,,,,,,,,,,,,,,,
2006-07,Grizzlies,22-60,0.268,,,,,,,,,,,,,,,,,
2006-07,Hawks,30-52,0.366,,,,,,,,,,,,,,,,,
2006-07,Heat,44-38,0.537,,,,,,,,,,,,,,,,,
2006-07,Hornets,39-43,0.476,,,,,,,,,,,,,,,,,
2006-07,Jazz,51-31,0.622,,,,,,,,,,,,,,,,,
2006-07,Kings,33-49,0.402,,,,,,,,,,,,,,,,,
2006-07,Knicks,33-49,0.402,,,,,,,,,,,,,,,,,
2006-07,Lakers,42-40,0.512,,,,,,,,,,,,,,,,,
2006-07,Magic,40-42,0.488,,,,,,,,,,,,,,,,,
2006-07,Mavericks,67-15,0.817,,,,,,,,,,,,,,,,,
2006-07,Nets,41-41,0.5,,,,,,,,,,,,,,,,,
2006-07,Nuggets,45-37,0.549,,,,,,,,,,,,,,,,,
2006-07,Pacers,35-47,0.427,,,,,,,,,,,,,,,,,
2006-07,Pistons,53-29,0.646,,,,,,,,,,,,,,,,,
2006-07,Raptors,47-35,0.573,,,,,,,,,,,,,,,,,
2006-07,Rockets,52-30,0.634,,,,,,,,,,,,,,,,,
2006-07,Spurs,58-24,0.707,,,,,,,,,,,,,,,,,
2006-07,Suns,61-21,0.744,,,,,,,,,,,,,,,,,
2006-07,Supersonics,31-51,0.378,,,,,,,,,,,,,,,,,
2006-07,Timberwolves,32-50,0.39,,,,,,,,,,,,,,,,,
2006-07,Trail Blazers,32-50,0.39,,,,,,,,,,,,,,,,,
2006-07,Warriors,42-40,0.512,,,,,,,,,,,,,,,,,
2006-07,Wizards,41-41,0.5,,,,,,,,,,,,,,,,,
2005-06,76ers,38-44,0.463,,,,,,,,,,,,,,,,,
2005-06,Bobcats,26-56,0.317,,,,,,,,,,,,,,,,,
2005-06,Bucks,40-42,0.488,,,,,,,,,,,,,,,,,
2005-06,Bulls,41-41,0.5,,,,,,,,,,,,,,,,,
2005-06,Cavaliers,50-32,0.61,,,,,,,,,,,,,,,,,
2005-06,Celtics,33-49,0.402,,,,,,,,,,,,,,,,,
2005-06,Clippers,47-35,0.573,,,,,,,,,,,,,,,,,
2005-06,Grizzlies,49-33,0.598,,,,,,,,,,,,,,,,,
2005-06,Hawks,26-56,0.317,,,,,,,,,,,,,,,,,
2005-06,Heat,52-30,0.634,,,,,,,,,,,,,,,,,
2005-06,Hornets,38-44,0.463,,,,,,,,,,,,,,,,,
2005-06,Jazz,41-41,0.5,,,,,,,,,,,,,,,,,
2005-06,Kings,44-38,0.537,,,,,,,,,,,,,,,,,
2005-06,Knicks,23-59,0.28,,,,,,,,,,,,,,,,,
2005-06,Lakers,45-37,0.549,,,,,,,,,,,,,,,,,
2005-06,Magic,36-46,0.439,,,,,,,,,,,,,,,,,
2005-06,Mavericks,60-22,0.732,,,,,,,,,,,,,,,,,
2005-06,Nets,49-33,0.598,,,,,,,,,,,,,,,,,
2005-06,Nuggets,44-38,0.537,,,,,,,,,,,,,,,,,
2005-06,Pacers,41-41,0.5,,,,,,,,,,,,,,,,,
2005-06,Pistons,64-18,0.78,,,,,,,,,,,,,,,,,
2005-06,Raptors,27-55,0.329,,,,,,,,,,,,,,,,,
2005-06,Rockets,34-48,0.415,,,,,,,,,,,,,,,,,
2005-06,Spurs,63-19,0.768,,,,,,,,,,,,,,,,,
2005-06,Suns,54-28,0.659,,,,,,,,,,,,,,,,,
2005-06,Supersonics,35-47,0.427,,,,,,,,,,,,,,,,,
2005-06,Timberwolves,33-49,0.402,,,,,,,,,,,,,,,,,
2005-06,Trail Blazers,21-61,0.256,,,,,,,,,,,,,,,,,
2005-06,Warriors,34-48,0.415,,,,,,,,,,,,,,,,,
2005-06,Wizards,42-40,0.512,,,,,,,,,,,,,,,,,
2004-05,76ers,43-39,0.524,,,,,,,,,,,,,,,,,
2004-05,Bobcats,18-64,0.22,,,,,,,,,,,,,,,,,
2004-05,Bucks,30-52,0.366,,,,,,,,,,,,,,,,,
2004-05,Bulls,47-35,0.573,,,,,,,,,,,,,,,,,
2004-05,Cavaliers,42-40,0.512,,,,,,,,,,,,,,,,,
2004-05,Celtics,45-37,0.549,,,,,,,,,,,,,,,,,
2004-05,Clippers,37-45,0.451,,,,,,,,,,,,,,,,,
2004-05,Grizzlies,45-37,0.549,,,,,,,,,,,,,,,,,
2004-05,Hawks,13-69,0.159,,,,,,,,,,,,,,,,,
2004-05,Heat,59-23,0.72,,,,,,,,,,,,,,,,,
2004-05,Hornets,18-64,0.22,,,,,,,,,,,,,,,,,
2004-05,Jazz,26-56,0.317,,,,,,,,,,,,,,,,,
2004-05,Kings,50-32,0.61,,,,,,,,,,,,,,,,,
2004-05,Knicks,33-49,0.402,,,,,,,,,,,,,,,,,
2004-05,Lakers,34-48,0.415,,,,,,,,,,,,,,,,,
2004-05,Magic,36-46,0.439,,,,,,,,,,,,,,,,,
2004-05,Mavericks,58-24,0.707,,,,,,,,,,,,,,,,,
2004-05,Nets,42-40,0.512,,,,,,,,,,,,,,,,,
2004-05,Nuggets,49-33,0.598,,,,,,,,,,,,,,,,,
2004-05,Pacers,44-38,0.537,,,,,,,,,,,,,,,,,
2004-05,Pistons,54-28,0.659,,,,,,,,,,,,,,,,,
2004-05,Raptors,33-49,0.402,,,,,,,,,,,,,,,,,
2004-05,Rockets,51-31,0.622,,,,,,,,,,,,,,,,,
2004-05,Spurs,59-23,0.72,,,,,,,,,,,,,,,,,
2004-05,Suns,62-20,0.756,,,,,,,,,,,,,,,,,
2004-05,Supersonics,52-30,0.634,,,,,,,,,,,,,,,,,
2004-05,Timberwolves,44-38,0.537,,,,,,,,,,,,,,,,,
2004-05,Trail Blazers,27-55,0.329,,,,,,,,,,,,,,,,,
2004-05,Warriors,34-48,0.415,,,,,,,,,,,,,,,,,
2004-05,Wizards,45-37,0.549,,,,,,,,,,,,,,,,,
2003-04,76ers,33-49,0.402,,,,,,,,,,,,,,,,,
2003-04,Bucks,41-41,0.5,,,,,,,,,,,,,,,,,
2003-04,Bulls,23-59,0.28,,,,,,,,,,,,,,,,,
2003-04,Cavaliers,35-47,0.427,,,,,,,,,,,,,,,,,
2003-04,Celtics,36-46,0.439,,,,,,,,,,,,,,,,,
2003-04,Clippers,28-54,0.341,,,,,,,,,,,,,,,,,
2003-04,Grizzlies,50-32,0.61,,,,,,,,,,,,,,,,,
2003-04,Hawks,28-54,0.341,,,,,,,,,,,,,,,,,
2003-04,Heat,42-40,0.512,,,,,,,,,,,,,,,,,
2003-04,Hornets,41-41,0.5,,,,,,,,,,,,,,,,,
2003-04,Jazz,42-40,0.512,,,,,,,,,,,,,,,,,
2003-04,Kings,55-27,0.671,,,,,,,,,,,,,,,,,
2003-04,Knicks,39-43,0.476,,,,,,,,,,,,,,,,,
2003-04,Lakers,56-26,0.683,,,,,,,,,,,,,,,,,
2003-04,Magic,21-61,0.256,,,,,,,,,,,,,,,,,
2003-04,Mavericks,52-30,0.634,,,,,,,,,,,,,,,,,
2003-04,Nets,47-35,0.573,,,,,,,,,,,,,,,,,
2003-04,Nuggets,43-39,0.524,,,,,,,,,,,,,,,,,
2003-04,Pacers,61-21,0.744,,,,,,,,,,,,,,,,,
2003-04,Pistons,54-28,0.659,,,,,,,,,,,,,,,,,
2003-04,Raptors,33-49,0.402,,,,,,,,,,,,,,,,,
2003-04,Rockets,45-37,0.549,,,,,,,,,,,,,,,,,
2003-04,Spurs,57-25,0.695,,,,,,,,,,,,,,,,,
2003-04,Suns,29-53,0.354,,,,,,,,,,,,,,,,,
2003-04,Supersonics,37-45,0.451,,,,,,,,,,,,,,,,,
2003-04,Timberwolves,58-24,0.707,,,,,,,,,,,,,,,,,
2003-04,Trail Blazers,41-41,0.5,,,,,,,,,,,,,,,,,
2003-04,Warriors,37-45,0.451,,,,,,,,,,,,,,,,,
2003-04,Wizards,25-57,0.305,,,,,,,,,,,,,,,,,
2002-03,76ers,48-34,0.585,,,,,,,,,,,,,,,,,
2002-03,Bucks,42-40,0.512,,,,,,,,,,,,,,,,,
2002-03,Bulls,30-52,0.366,,,,,,,,,,,,,,,,,
2002-03,Cavaliers,17-65,0.207,,,,,,,,,,,,,,,,,
2002-03,Celtics,44-38,0.537,,,,,,,,,,,,,,,,,
2002-03,Clippers,27-55,0.329,,,,,,,,,,,,,,,,,
2002-03,Grizzlies,28-54,0.341,,,,,,,,,,,,,,,,,
2002-03,Hawks,35-47,0.427,,,,,,,,,,,,,,,,,
2002-03,Heat,25-57,0.305,,,,,,,,,,,,,,,,,
2002-03,Hornets,47-35,0.573,,,,,,,,,,,,,,,,,
2002-03,Jazz,47-35,0.573,,,,,,,,,,,,,,,,,
2002-03,Kings,59-23,0.72,,,,,,,,,,,,,,,,,
2002-03,Knicks,37-45,0.451,,,,,,,,,,,,,,,,,
2002-03,Lakers,50-32,0.61,,,,,,,,,,,,,,,,,
2002-03,Magic,42-40,0.512,,,,,,,,,,,,,,,,,
2002-03,Mavericks,60-22,0.732,,,,,,,,,,,,,,,,,
2002-03,Nets,49-33,0.598,,,,,,,,,,,,,,,,,
2002-03,Nuggets,17-65,0.207,,,,,,,,,,,,,,,,,
2002-03,Pacers,48-34,0.585,,,,,,,,,,,,,,,,,
2002-03,Pistons,50-32,0.61,,,,,,,,,,,,,,,,,
2002-03,Raptors,24-58,0.293,,,,,,,,,,,,,,,,,
2002-03,Rockets,43-39,0.524,,,,,,,,,,,,,,,,,
2002-03,Spurs,60-22,0.732,,,,,,,,,,,,,,,,,
2002-03,Suns,44-38,0.537,,,,,,,,,,,,,,,,,
2002-03,Supersonics,40-42,0.488,,,,,,,,,,,,,,,,,
2002-03,Timberwolves,51-31,0.622,,,,,,,,,,,,,,,,,
2002-03,Trail Blazers,50-32,0.61,,,,,,,,,,,,,,,,,
2002-03,Warriors,38-44,0.463,,,,,,,,,,,,,,,,,
2002-03,Wizards,37-45,0.451,,,,,,,,,,,,,,,,,
2001-02,76ers,43-39,0.524,,,,,,,,,,,,,,,,,
2001-02,Bucks,41-41,0.5,,,,,,,,,,,,,,,,,
2001-02,Bulls,21-61,0.256,,,,,,,,,,,,,,,,,
2001-02,Cavaliers,29-53,0.354,,,,,,,,,,,,,,,,,
2001-02,Celtics,49-33,0.598,,,,,,,,,,,,,,,,,
2001-02,Clippers,39-43,0.476,,,,,,,,,,,,,,,,,
2001-02,Grizzlies,23-59,0.28,,,,,,,,,,,,,,,,,
2001-02,Hawks,33-49,0.402,,,,,,,,,,,,,,,,,
2001-02,Heat,36-46,0.439,,,,,,,,,,,,,,,,,
2001-02,Hornets,44-38,0.537,,,,,,,,,,,,,,,,,
2001-02,Jazz,44-38,0.537,,,,,,,,,,,,,,,,,
2001-02,Kings,61-21,0.744,,,,,,,,,,,,,,,,,
2001-02,Knicks,30-52,0.366,,,,,,,,,,,,,,,,,
2001-02,Knicks,19-26,0.422,,,,,,,,,,,,,,,,,
2001-02,Lakers,58-24,0.707,,,,,,,,,,,,,,,,,
2001-02,Magic,44-38,0.537,,,,,,,,,,,,,,,,,
2001-02,Mavericks,57-25,0.695,,,,,,,,,,,,,,,,,
2001-02,Nets,52-30,0.634,,,,,,,,,,,,,,,,,
2001-02,Nuggets,27-55,0.329,,,,,,,,,,,,,,,,,
2001-02,Pacers,42-40,0.512,,,,,,,,,,,,,,,,,
2001-02,Pistons,50-32,0.61,,,,,,,,,,,,,,,,,
2001-02,Raptors,42-40,0.512,,,,,,,,,,,,,,,,,
2001-02,Rockets,28-54,0.341,,,,,,,,,,,,,,,,,
2001-02,Spurs,58-24,0.707,,,,,,,,,,,,,,,,,
2001-02,Suns,36-46,0.439,,,,,,,,,,,,,,,,,
2001-02,Supersonics,45-37,0.549,,,,,,,,,,,,,,,,,
2001-02,Timberwolves,50-32,0.61,,,,,,,,,,,,,,,,,
2001-02,Trail Blazers,49-33,0.598,,,,,,,,,,,,,,,,,
2001-02,Warriors,21-61,0.256,,,,,,,,,,,,,,,,,
2001-02,Wizards,37-45,0.451,,,,,,,,,,,,,,,,,
2000-01,76ers,56-26,0.683,,,,,,,,,,,,,,,,,
2000-01,Bucks,52-30,0.634,,,,,,,,,,,,,,,,,
2000-01,Bulls,15-67,0.183,,,,,,,,,,,,,,,,,
2000-01,Cavaliers,30-52,0.366,,,,,,,,,,,,,,,,,
2000-01,Celtics,36-46,0.439,,,,,,,,,,,,,,,,,
2000-01,Clippers,31-51,0.378,,,,,,,,,,,,,,,,,
2000-01,Grizzlies,23-59,0.28,,,,,,,,,,,,,,,,,
2000-01,Hawks,25-57,0.305,,,,,,,,,,,,,,,,,
2000-01,Heat,50-32,0.61,,,,,,,,,,,,,,,,,
2000-01,Hornets,46-36,0.561,,,,,,,,,,,,,,,,,
2000-01,Jazz,53-29,0.646,,,,,,,,,,,,,,,,,
2000-01,Kings,55-27,0.671,,,,,,,,,,,,,,,,,
2000-01,Knicks,32-50,0.39,,,,,,,,,,,,,,,,,
2000-01,Knicks,48-34,0.585,,,,,,,,,,,,,,,,,
2000-01,Lakers,56-26,0.683,,,,,,,,,,,,,,,,,
2000-01,Magic,43-39,0.524,,,,,,,,,,,,,,,,,
2000-01,Mavericks,53-29,0.646,,,,,,,,,,,,,,,,,
2000-01,Nets,26-56,0.317,,,,,,,,,,,,,,,,,
2000-01,Nuggets,40-42,0.488,,,,,,,,,,,,,,,,,
2000-01,Pacers,41-41,0.5,,,,,,,,,,,,,,,,,
2000-01,Pistons,32-50,0.39,,,,,,,,,,,,,,,,,
2000-01,Raptors,47-35,0.573,,,,,,,,,,,,,,,,,
2000-01,Rockets,45-37,0.549,,,,,,,,,,,,,,,,,
2000-01,Spurs,58-24,0.707,,,,,,,,,,,,,,,,,
2000-01,Suns,51-31,0.622,,,,,,,,,,,,,,,,,
2000-01,Supersonics,44-38,0.537,,,,,,,,,,,,,,,,,
2000-01,Timberwolves,47-35,0.573,,,,,,,,,,,,,,,,,
2000-01,Trail Blazers,50-32,0.61,,,,,,,,,,,,,,,,,
2000-01,Warriors,17-65,0.207,,,,,,,,,,,,,,,,,
2000-01,Wizards,19-63,0.232,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
